country,variable,x1996,x1997,x1998,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019
AFG,gdp_pc,NaN,NaN,NaN,NaN,NaN,NaN,1189.78466765718,1235.81006329565,1200.27801321734,1286.79365893927,1315.78911741835,1460.8257513794,1484.11446132539,1758.90447663765,1957.02906990812,1904.55992565594,2075.49161435331,2116.46525771251,2102.38460375974,2068.26590413364,2057.06797755329,2058.4002210698,2033.80438893717,2065.03623501599
AFG,nat_res,46649454,60476336,88867740,56466366,54831228,40415741,44498337,129871383,132085012,150446663,169055391,221570300,394047270,530384034,396661583,457688767,518970378,576193370,702414065,772427991,1128373454,1143324529,1193227936,2354299234
AFG,hum_cap,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AFG,ghg_emissions,13000,13970.0002670288,14789.999961853,15670.0000762939,13890.0003433228,12250,14890.0003433228,15529.9997329712,15310.0004196167,16229.9995422363,16739.9997711182,17139.9993896484,20540.0009155273,22629.9991607666,27120.0008392334,29409.9998474121,28799.9992370605,27020.0004577637,26760.0002288818,27090.0001525879,26889.9993896484,26530.0006866455,27690.0005340576,28639.9993896484
AFG,embodied_ghg_emissions,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AFG,gini,NaN,NaN,NaN,NaN,NaN,NaN,43.60995,36.2701,36.53529,34.83938,31.527,40.81364,36.73118,43.95626,44.26174,NaN,43.22195,43.51464,NaN,NaN,NaN,NaN,NaN,NaN
AFG,population,18853444,19357126,19737770,20170847,20779957,21606992,22600774,23680871,24726689,25654274,26433058,27100542,27722281,28394806,29185511,30117411,31161378,32269592,33370804,34413603,35383028,36296111,37171922,38041757
AGO,eci_trade,NaN,NaN,NaN,-1.79772442513118,-1.7774579995386,-1.77099080845517,-2.21229636311904,-2.13690951101658,-0.903113642860312,-0.898578648129088,-2.1740552743584,-1.78814975444683,-1.6104952783231,-1.66030430847534,-1.58670210360158,-1.55530307119502,-1.37078195118018,-1.46904385548672,-1.40499620610013,-1.47615234981646,-1.45996567704152,-1.23419493040402,-1.20902640834866,-0.927048674270281
AGO,eci_trade_similarity,NaN,NaN,NaN,-2.1137365053681,-1.95706539118906,-1.11276427066398,-1.40503657741015,-1.38143827120885,-1.48064167627335,-1.13004088590755,-2.02111897097626,-1.60968478221315,-1.85890693276613,-1.8965876761217,-1.42371186904469,-1.6076721469117,-1.20425019354772,-1.20731252584871,-1.29147371527972,-1.43266517795353,-1.32771462156169,-2.20577606510977,-1.39218043772938,-1.07346494267556
AGO,hhi_trade,NaN,NaN,NaN,0.755192016846847,0.752378230076768,0.751493430082863,0.772331685338696,0.813637767889915,0.861437786552386,0.887005572783553,0.907337688243656,0.876925654083282,0.893036306953954,0.881619568059101,0.873854763011173,0.879571967424139,0.84877232618156,0.84067539141188,0.834284546958077,0.814129100268727,0.797048905522439,0.761417668922698,0.714167201233724,0.713019980558916
